time,min,mean,max,std,count
2033-11-30 00:00:00+00:00,,,,,0
2034-02-28 00:00:00+00:00,298.10388,298.10388,298.10388,,1
2034-05-31 00:00:00+00:00,,,,,0
2034-08-31 00:00:00+00:00,,,,,0
2034-11-30 00:00:00+00:00,,,,,0
2035-02-28 00:00:00+00:00,297.71667,297.71667,297.71667,,1
2035-05-31 00:00:00+00:00,,,,,0
2035-08-31 00:00:00+00:00,,,,,0
2035-11-30 00:00:00+00:00,,,,,0
2036-02-29 00:00:00+00:00,297.9595,297.9595,297.9595,,1
2036-05-31 00:00:00+00:00,,,,,0
2036-08-31 00:00:00+00:00,,,,,0
2036-11-30 00:00:00+00:00,,,,,0
2037-02-28 00:00:00+00:00,296.8417,296.8417,296.8417,,1
2037-05-31 00:00:00+00:00,,,,,0
2037-08-31 00:00:00+00:00,,,,,0
2037-11-30 00:00:00+00:00,,,,,0
2038-02-28 00:00:00+00:00,298.4275,298.4275,298.4275,,1
2038-05-31 00:00:00+00:00,,,,,0
2038-08-31 00:00:00+00:00,,,,,0
2038-11-30 00:00:00+00:00,,,,,0
2039-02-28 00:00:00+00:00,296.10043,296.10043,296.10043,,1
2039-05-31 00:00:00+00:00,,,,,0
2039-08-31 00:00:00+00:00,,,,,0
2039-11-30 00:00:00+00:00,,,,,0
2040-02-29 00:00:00+00:00,297.98364,297.98364,297.98364,,1
2040-05-31 00:00:00+00:00,,,,,0
2040-08-31 00:00:00+00:00,,,,,0
2040-11-30 00:00:00+00:00,,,,,0
2041-02-28 00:00:00+00:00,298.7631,298.7631,298.7631,,1
2041-05-31 00:00:00+00:00,,,,,0
2041-08-31 00:00:00+00:00,,,,,0
2041-11-30 00:00:00+00:00,,,,,0
2042-02-28 00:00:00+00:00,297.85803,297.85803,297.85803,,1
2042-05-31 00:00:00+00:00,,,,,0
2042-08-31 00:00:00+00:00,,,,,0
2042-11-30 00:00:00+00:00,,,,,0
2043-02-28 00:00:00+00:00,298.55664,298.55664,298.55664,,1
2043-05-31 00:00:00+00:00,,,,,0
2043-08-31 00:00:00+00:00,,,,,0
2043-11-30 00:00:00+00:00,,,,,0
2044-02-29 00:00:00+00:00,297.66235,297.66235,297.66235,,1
2044-05-31 00:00:00+00:00,,,,,0
2044-08-31 00:00:00+00:00,,,,,0
2044-11-30 00:00:00+00:00,,,,,0
2045-02-28 00:00:00+00:00,297.63885,297.63885,297.63885,,1
2045-05-31 00:00:00+00:00,,,,,0
2045-08-31 00:00:00+00:00,,,,,0
2045-11-30 00:00:00+00:00,,,,,0
2046-02-28 00:00:00+00:00,298.4213,298.4213,298.4213,,1
2046-05-31 00:00:00+00:00,,,,,0
2046-08-31 00:00:00+00:00,,,,,0
2046-11-30 00:00:00+00:00,,,,,0
2047-02-28 00:00:00+00:00,298.5355,298.5355,298.5355,,1
2047-05-31 00:00:00+00:00,,,,,0
2047-08-31 00:00:00+00:00,,,,,0
2047-11-30 00:00:00+00:00,,,,,0
2048-02-29 00:00:00+00:00,298.2552,298.2552,298.2552,,1
2048-05-31 00:00:00+00:00,,,,,0
2048-08-31 00:00:00+00:00,,,,,0
2048-11-30 00:00:00+00:00,,,,,0
2049-02-28 00:00:00+00:00,299.10785,299.10785,299.10785,,1
2049-05-31 00:00:00+00:00,,,,,0
2049-08-31 00:00:00+00:00,,,,,0
2049-11-30 00:00:00+00:00,,,,,0
2050-02-28 00:00:00+00:00,299.9723,299.9723,299.9723,,1
2050-05-31 00:00:00+00:00,,,,,0
2050-08-31 00:00:00+00:00,,,,,0
2050-11-30 00:00:00+00:00,,,,,0
2051-02-28 00:00:00+00:00,298.38425,298.38425,298.38425,,1
2051-05-31 00:00:00+00:00,,,,,0
2051-08-31 00:00:00+00:00,,,,,0
2051-11-30 00:00:00+00:00,,,,,0
2052-02-29 00:00:00+00:00,298.53513,298.53513,298.53513,,1
2052-05-31 00:00:00+00:00,,,,,0
2052-08-31 00:00:00+00:00,,,,,0
2052-11-30 00:00:00+00:00,,,,,0
2053-02-28 00:00:00+00:00,298.64127,298.64127,298.64127,,1
2053-05-31 00:00:00+00:00,,,,,0
2053-08-31 00:00:00+00:00,,,,,0
2053-11-30 00:00:00+00:00,,,,,0
2054-02-28 00:00:00+00:00,298.24335,298.24335,298.24335,,1
2054-05-31 00:00:00+00:00,,,,,0
2054-08-31 00:00:00+00:00,,,,,0
2054-11-30 00:00:00+00:00,,,,,0
2055-02-28 00:00:00+00:00,298.0619,298.0619,298.0619,,1
2055-05-31 00:00:00+00:00,,,,,0
2055-08-31 00:00:00+00:00,,,,,0
2055-11-30 00:00:00+00:00,,,,,0
2056-02-29 00:00:00+00:00,298.76904,298.76904,298.76904,,1
2056-05-31 00:00:00+00:00,,,,,0
2056-08-31 00:00:00+00:00,,,,,0
2056-11-30 00:00:00+00:00,,,,,0
2057-02-28 00:00:00+00:00,298.25806,298.25806,298.25806,,1
2057-05-31 00:00:00+00:00,,,,,0
2057-08-31 00:00:00+00:00,,,,,0
2057-11-30 00:00:00+00:00,,,,,0
2058-02-28 00:00:00+00:00,299.87817,299.87817,299.87817,,1
2058-05-31 00:00:00+00:00,,,,,0
2058-08-31 00:00:00+00:00,,,,,0
2058-11-30 00:00:00+00:00,,,,,0
2059-02-28 00:00:00+00:00,298.7965,298.7965,298.7965,,1
2059-05-31 00:00:00+00:00,,,,,0
2059-08-31 00:00:00+00:00,,,,,0
2059-11-30 00:00:00+00:00,,,,,0
2060-02-29 00:00:00+00:00,298.57037,298.57037,298.57037,,1
2060-05-31 00:00:00+00:00,,,,,0
2060-08-31 00:00:00+00:00,,,,,0
2060-11-30 00:00:00+00:00,,,,,0
2061-02-28 00:00:00+00:00,298.80084,298.80084,298.80084,,1
2061-05-31 00:00:00+00:00,,,,,0
2061-08-31 00:00:00+00:00,,,,,0
2061-11-30 00:00:00+00:00,,,,,0
2062-02-28 00:00:00+00:00,298.57224,298.57224,298.57224,,1
2062-05-31 00:00:00+00:00,,,,,0
2062-08-31 00:00:00+00:00,,,,,0
2062-11-30 00:00:00+00:00,,,,,0
2063-02-28 00:00:00+00:00,300.53516,300.53516,300.53516,,1
2063-05-31 00:00:00+00:00,,,,,0
2063-08-31 00:00:00+00:00,,,,,0
2063-11-30 00:00:00+00:00,,,,,0
2064-02-29 00:00:00+00:00,299.76508,299.76508,299.76508,,1
2064-05-31 00:00:00+00:00,,,,,0
2064-08-31 00:00:00+00:00,,,,,0
2064-11-30 00:00:00+00:00,,,,,0
2065-02-28 00:00:00+00:00,299.30447,299.30447,299.30447,,1
2065-05-31 00:00:00+00:00,,,,,0
2065-08-31 00:00:00+00:00,,,,,0
2065-11-30 00:00:00+00:00,,,,,0
2066-02-28 00:00:00+00:00,298.43326,298.43326,298.43326,,1
2066-05-31 00:00:00+00:00,,,,,0
2066-08-31 00:00:00+00:00,,,,,0
2066-11-30 00:00:00+00:00,,,,,0
2067-02-28 00:00:00+00:00,299.03317,299.03317,299.03317,,1
2067-05-31 00:00:00+00:00,,,,,0
2067-08-31 00:00:00+00:00,,,,,0
2067-11-30 00:00:00+00:00,,,,,0
2068-02-29 00:00:00+00:00,300.2371,300.2371,300.2371,,1
2068-05-31 00:00:00+00:00,,,,,0
2068-08-31 00:00:00+00:00,,,,,0
2068-11-30 00:00:00+00:00,,,,,0
2069-02-28 00:00:00+00:00,299.2113,299.2113,299.2113,,1
2069-05-31 00:00:00+00:00,,,,,0
2069-08-31 00:00:00+00:00,,,,,0
2069-11-30 00:00:00+00:00,,,,,0
2070-02-28 00:00:00+00:00,298.65805,298.65805,298.65805,,1
2070-05-31 00:00:00+00:00,,,,,0
2070-08-31 00:00:00+00:00,,,,,0
2070-11-30 00:00:00+00:00,,,,,0
2071-02-28 00:00:00+00:00,299.43124,299.43124,299.43124,,1
2071-05-31 00:00:00+00:00,,,,,0
2071-08-31 00:00:00+00:00,,,,,0
2071-11-30 00:00:00+00:00,,,,,0
2072-02-29 00:00:00+00:00,300.03558,300.03558,300.03558,,1
2072-05-31 00:00:00+00:00,,,,,0
2072-08-31 00:00:00+00:00,,,,,0
2072-11-30 00:00:00+00:00,,,,,0
2073-02-28 00:00:00+00:00,299.29626,299.29626,299.29626,,1
2073-05-31 00:00:00+00:00,,,,,0
2073-08-31 00:00:00+00:00,,,,,0
2073-11-30 00:00:00+00:00,,,,,0
2074-02-28 00:00:00+00:00,299.99686,299.99686,299.99686,,1
2074-05-31 00:00:00+00:00,,,,,0
2074-08-31 00:00:00+00:00,,,,,0
2074-11-30 00:00:00+00:00,,,,,0
2075-02-28 00:00:00+00:00,300.29483,300.29483,300.29483,,1
2075-05-31 00:00:00+00:00,,,,,0
2075-08-31 00:00:00+00:00,,,,,0
2075-11-30 00:00:00+00:00,,,,,0
2076-02-29 00:00:00+00:00,299.35373,299.35373,299.35373,,1
2076-05-31 00:00:00+00:00,,,,,0
2076-08-31 00:00:00+00:00,,,,,0
2076-11-30 00:00:00+00:00,,,,,0
2077-02-28 00:00:00+00:00,299.33463,299.33463,299.33463,,1
2077-05-31 00:00:00+00:00,,,,,0
2077-08-31 00:00:00+00:00,,,,,0
2077-11-30 00:00:00+00:00,,,,,0
2078-02-28 00:00:00+00:00,299.63336,299.63336,299.63336,,1
2078-05-31 00:00:00+00:00,,,,,0
2078-08-31 00:00:00+00:00,,,,,0
2078-11-30 00:00:00+00:00,,,,,0
2079-02-28 00:00:00+00:00,300.52304,300.52304,300.52304,,1
2079-05-31 00:00:00+00:00,,,,,0
2079-08-31 00:00:00+00:00,,,,,0
2079-11-30 00:00:00+00:00,,,,,0
