the_geom,match_addr,x coordinate,y coordinate,category,layer
POINT (-118.2946515 33.750779299999614),"863 S Herbert Ave, San Pedro, CA 90731, USA",-118.2946515,33.7507793,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.550707 34.174123199999634),"5655 Vanalden Ave, Tarzana, CA 91356, USA",-118.550707,34.1741232,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.1032857 33.846216399999626),"6600 Del Amo Blvd, Lakewood, CA 90713, USA",-118.1032857,33.8462164,LA County Cooling Center,coolingcenters
POINT (-118.31820440000001 33.835335599999624),"1318 Cravens Ave, Torrance, CA 90501, USA",-118.3182044,33.8353356,LA County Cooling Center,coolingcenters
POINT (-118.2232858 34.070828999999634),"1772 N Spring St, Los Angeles, CA 90031, USA",-118.2232858,34.070829,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.2032604 34.095756899999635),"4545 Homer St, Los Angeles, CA 90031, USA",-118.2032604,34.0957569,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.28372200000001 33.7098649999996),"3800 Stephen M White Dr, San Pedro, CA 90731, USA",-118.283722,33.709865,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.3715329 34.043800799999644),"5931 W 18th St, Los Angeles, CA 90035, USA",-118.3715329,34.0438008,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.2668941 33.97057179999963),"7630 Towne Ave, Los Angeles, CA 90003, USA",-118.2668941,33.9705718,City of LA Pool,la_city_year-round_pools
POINT (-118.2833114 34.032814699999655),"1010 W 25th St, Los Angeles, CA 90007, USA",-118.2833114,34.0328147,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.08766890000001 33.99012799999963),"9200 Mines Ave, Pico Rivera, CA 90660, USA",-118.0876689,33.990128,LA County Cooling Center,coolingcenters
POINT (-118.03571619999998 34.06710209999962),"3224 Tyler Ave, El Monte, CA 91731, USA",-118.0357162,34.0671021,LA County Cooling Center,coolingcenters
POINT (-118.4555809 34.006578199999645),"1341 Lake St, Venice, CA 90291, USA",-118.4555809,34.0065782,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.03187399999999 34.12846029999964),"20 W Duarte Rd, Arcadia, CA 91007, USA",-118.031874,34.1284603,LA County Cooling Center,coolingcenters
POINT (-118.24492830000001 34.13854609999965),"820 E Maple St, Glendale, CA 91205, USA",-118.2449283,34.1385461,LA County Cooling Center,coolingcenters
POINT (-117.7160321 34.09589339999963),"208 Harvard Ave N, Claremont, CA 91711, USA",-117.7160321,34.0958934,LA County Cooling Center,coolingcenters
